Name,Address,City,State,Zipcode,Phone,Url,Description,Rating,Rate Count,Price,YelpID,Lat,Lng
Buona Forchetta ,250 N Coast Hwy 101,Encinitas,CA,92024,(760) 704-8070,,"North County finally has a Buona Forchetta of its own. Diners who for years have trekked to the original South Park location are now thrilled to not have to travel far to visit the popular Italian restaurant. The cozy space on Highway 101 serves all its best-selling pizza and pasta, plus gluten-free options, as well as some new seafood-based dishes.",5.0,49,,aRacnEURw6oTkrijdeUZXA,33.05359,-117.29659
CHIKO,101 N Coast Hwy 101,Encinitas,CA,92024,(760) 230-1076,http://chikoca.com/,"Diners are lining up to try this certified hit from Washington, D.C. that recently landed in North County. Serving a casual and playful menu grounded in Chinese and Korean cuisine, with favorites like “orange-ish chicken” and soy-glazed chopped brisket, the East Coast transplant will soon be rolling out other popular features including an indulgent tasting menu and late night guest chef collaborations.   i",4.5,36,,CfT-9koHkFvmdOJiUeENSA,33.05006,-117.29416
Menya Ultra Ramen Mira Mesa,8141,San Diego,CA,92126,,http://menya-ultra.com/,The second outpost of this standout ramen shop should either help to alleviate the crowds at its flagship Kearny Mesa location or just earn the eatery even more fans willing to line up for its impeccable ramen and freshly-made noodles. The Mira Mesa spot offers a few additional seats and will be featuring new menu items soon. ,4.5,83,,uJbBxJnGhXkAXtLCmxrszg,32.9112446910774,-117.148219498148
Din Tai Fung,4301 La Jolla Village Dr #2000,San Diego,CA,92122,(858) 375-9888,http://dintaifungusa.com/,"The world renowned eatery has finally landed in San Diego, where its new outpost at Westfield UTC is already drawing crowds for its handmade dumplings, from pork and crab xiao long bao to shrimp and pork potstickers. ",4.5,477,,a3yfBL2Nlm6Z6-1Yzl4ncw,32.8724184,-117.213775
Hidden Fish,4764 Convoy St ste a,San Diego,CA,92111,(858) 210-5056,http://www.hiddenfishsushi.com/,"Convoy’s newest eatery specializes in sushi on a deadline, setting 30 and 90 minute timelines for diners to polish off 12 and 18-course meals of chef’s choice nigiri made with fresh local seafood and a fish sourced from Tokyo’s famed Tsujiki Market. ",4.5,84,,MnsAeUTv-t3bNqF4DJIrEw,32.82841,-117.15385
Bonchon ,4690 Convoy St,San Diego,CA,92111,,https://bonchon.com/korean-fried-chicken-convoy-ca/,"Founded in South Korea and popular worldwide, with more than 200 stores in nine states, Bonchon has arrived in Kearny Mesa (next up is Chula Vista and San Marcos). The clamoring crowds are already addicted to its exemplary Korean-style fried chicken, twice-fried for extreme crunch and glazed with soy-garlic or spicy sauce. There are other Korean and Asian dishes here, but the chicken is the star. ",3.5,57,,9sqn-GW1hXjQy4g3g7oOwA,32.82665,-117.15581
Wayfarer Bread & Pastry,5525 La Jolla Blvd,La Jolla,CA,92037,,http://www.wayfarerbread.com/,"Fans already know to show up early to this new Bird Rock bakery, before its delectable, handmade baked goods sell out for the day. Made in small batches, they include morning buns, scones, croissants, baguettes, and rustic loaves. ",4.5,94,2,l-t2wjc6WttWflFcELRR9A,32.81302,-117.26841
Good Time Poke/The Grass Skirt,910 Grand Ave,San Diego,CA,92109,(858) 412-5237,http://www.thegrassskirt.com,"Two of this year's food and drink trends are housed under one roof. Good Time Poke offers a daytime menu of poke bowls featuring top quality seafood while The Grass Skirt focuses on well-crafted tiki cocktails and its own Asian-influenced food program, ranging from housemade pork belly buns to kimchi fried rice and Vietnamese noodle salad.",4.0,451,2,wrKg8zhFHW7M7LFvbGF-0w,32.795524597168,-117.252571105957
Shake Shack,675 Camino De La Reina,San Diego,CA,92108,,https://www.shakeshack.com/location/mission-valley-ca/,"The burger giant continues its San Diego expansion with its newest location in Mission Valley. Must eats include the 'Shroom Burger, which tops the burger patty with a crispy cheese-filled mushroom, and a frozen custard with mix-ins baked up by local dessert shops.",3.5,420,2,mMX0rOkGpDCCQct8yAR_ZA,32.7666491179614,-117.158511928813
Pop Pie,4404 Park Blvd,San Diego,CA,92116,,https://www.poppieco.com,"Folks are lining up for this new concept, which takes the classic pie into creative directions in both the sweet and savory realms. The on-trend quick-service eatery is also serving craft beer and coffee.",4.5,717,2,ZUZEfmc3cktZT9aV-AHYiw,32.7573953,-117.1464547
Maestoso,1040 University Ave,San Diego,CA,92103,,http://maestoso.com,"This newly-opened modern Italian restaurant serves traditional handmade pasta and Roman flatbread but also reaches further, employing dim sum carts to deliver creative dishes based on the chef's whim with seasonal ingredients.",4.5,175,3,VI_Eo7Fjj1HQP3EL3BE8Kw,32.7485668098011,-117.154130780334
El Jardin,2885 Perry Rd,San Diego,CA,92106,(619) 795-3414,http://eljardinrestaurantbar.com/,‘Top Chef’ alum Claudette Zepeda-Wilkins steps into the spotlight in San Diego with a solo restaurant and passion project that draws on her Mexican heritage as well as extensive travel and cooking experience throughout Mexico and the U.S.,3.5,203,3,yPbVdfHu5zJLXVWSZDWdZQ,32.7413600094699,-117.211570031941
Nolita Hall,2305 India St,San Diego,CA,92101,(619) 255-8000,https://www.nolitahall.com/,"Little Italy’s latest hit is a high-energy hangout that’s particularly great for groups who like to gather in the stylish space for shuffleboard or sports-watching, share a few woodfired pizzas, and drink through a standout cocktail menu.",4.5,177,2,TC4WrRzvOpUQG6klahuNBQ,32.72863,-117.17019
Herb & Eatery,2210 Kettner Blvd,San Diego,CA,92101,,,"A more casual, all-day companion to Brian Malarkey's Herb & Wood, this artisan market and counter service restaurant has a special nighttime menu available seven days a week. Dubbed Pizza Parlor, it offers a selection of wood-fired pizzas baked up in the Herb & Wood kitchen. Served from 4:30 to 8:30 pm., the menu also includes salads, desserts from Executive Pastry Chef, Adrian Mendoza, beer, wine and a full cocktail menu.",4.5,237,2,n03_a62vZpzvpcZl2gn0Sw,32.7271994338005,-117.170910312485
Charles + Dinorah,1410 Rosecrans St,San Diego,CA,92106,(619) 226-6100,https://thepearlsd.com/,"The Pearl Hotel has revamped and renamed its signature poolside restaurant. There's an all-new cocktail program as well as a refreshed menu at dinner and brunch from executive chef Andrew Santana (Campfire), which spotlights seasonal ingredients in dishes that reflect the flavors of global cuisines.",4.0,482,2,1AQJ3sdKL6WT2DtSL04sPQ,32.72534,-117.22898
Little Italy Food Hall,550 W Date St suite b,San Diego,CA,92101,(619) 269-7187,http://www.littleitalyfoodhall.com/,"San Diego’s hottest dining neighborhood now has a food hall of its own, connected to a new community plaza. Among the diverse culinary options is Not Not Tacos, created by Sam “The Cooking Guy” Zien, the seafood-focused Single Fin Kitchen, and the Pan-Asian Mein St. Kitchen.",4.0,86,2,R5l8LF0qHMV3-5gN3pvMYg,32.7232044810677,-117.167589431388
Craft & Commerce,675 W Beech St,San Diego,CA,92101,,,"Reopened recently after a year-long remodel, this foundational Little Italy restaurant now offers even more dining and drinking space along with a refreshed cocktail menu and revamped food program fueled by wood fire and overseen by a new executive chef.",4.0,2382,2,OKOCt9shJMRj0Mf88JrL0w,32.7208398988777,-117.169026173651
LOLA 55,1290 F St,San Diego,CA,92101,(619) 542-9155,https://www.lola55catering.com/,"This fresh addition to the East Village serves an affordable menu of creatively composed tacos made with housemade tortillas, woodfire grilled proteins, local fish and produce. Paired with the casual, counter-service styled eatery is a cocktail bar and lounge, which gives the neighborhood a new drinking spot. ",4.5,180,,HvPDGFu5z_agspTA1iiBkA,32.7137749,-117.1530489
Campfire,2725 State St,Carlsbad,CA,92008,(760) 637-5121,http://thisiscampfire.com/,"Bartender Jake Inez is credited with the Charred Nectarine comprised of white rum, black sesame, allspice, lemon and shiso while bar manager Leigh Lacap has just added the Jersey Devil with vodka, applejack, Cocchi Rosa, cranberry and yerba mate and the Smoked Honeydew with fino sherry, blanc vermouth, nasturtium, jasmine and lemon.  ",4.5,1184,2,eIUd0dPpd-8oWIQu2ch9gw,33.16199,-117.35105
Raised by Wolves,4301 La Jolla Village Dr Ste #2030,San Diego,CA,92122,(619) 629-0243,http://raisedxwolves.com/,"Westfield UTC’s boutique bottle shop and hidden cocktail bar by CH Projects (Polite Provisions, Noble Experiment, False Idol) recently introduced a new section of classic cocktails as well as an array of nonalcoholic drinks. For the season, Erick Castro has also developed a creamy vegan eggnog that’s now available on nitro. Made with a blend of almond and cashew milk and sweetened with maple syrup, it’s enhanced with aged rum, cognac, sweet vermouth, and velvet falernum.",4.0,379,2,V2cmN15Oc1v6u61_J5AAcA,32.8723646,-117.213181
Cordova Bar,1319 Morena Blvd,San Diego,CA,92110,,,"The space formerly known as Clutch Bar was recently taken over by Aero Club alums, who renamed it Cordova Bar and soft opened it on November 14. The menu focuses heavily on cocktails, whiskies and agave spirits and features a special nod to one of San Diego’s favorite bartenders, Cantina Mayahuel’s Randy Elskamp with a mezcal negroni called “The Randyman.”",5.0,2,,coiV3hIPRVtYoU3A8Ynodw,32.77221,-117.20184
Madison,4622 Park Blvd,San Diego,CA,92116,,,"Cocktails for fall at Madison include Girl Crazy crafted with Opuntia Prickly Pear Spirit, Grand Poppy Amaro, House-made tepache, lime and Red Alaea Salt and the Impeachmint with Elijah Craig Small Batch Bourbon, white peach, mint, lemon, club soda and with a $1 donation to the ACLU for every drink sold. Perfect for colder nights to come, guests can enjoy some barrel-aged cocktails including the Remember the Maine, Rittenhouse Rye Bourbon, Punt e Mes, Cherry Heerring, Absinthe and Mr. Screwtape with Angel’s Envy Bourbon, Gran Classico bitters liqueur, dry Curacao and orange bitters. ",4.0,613,2,D7gacN6vfda4iNjGcfZ3gQ,32.7613947540522,-117.146333679557
Hundred Proof,4130 Park Blvd,San Diego,CA,92103,(619) 501-6404,http://www.hundredproofsd.com/,"Fresh off the stick at George’s at the Cove is Stephen Kurpinsky, who recently was brought into Hillcrest’s Hundred Proof to revamp the menu as the new beverage director. Two new drinks include the Fruit Loops Ramos Fizz with Singani 63, lemongrass, Aperol, Orange Blossom, lemon, Cereal Whipping Cream, Egg White and soda and Rice Tikis with Kikori Rice Whiskey, Plantation Pineapple Rum, Lime, Passionfruit, Rice Krispies Orgeat, clarified butter and Angostura bitters.",4.5,242,2,SKDq97Ygm9g1DC3vxAZGqA,32.7531109,-117.146607669869
Tahona,2414 San Diego Ave,San Diego,CA,92110,(619) 255-2090,http://www.tahonabar.com/,"Freshly opened next to a historic cemetery in Old Town is Tahona, a bar and restaurant dedicated to all things agave. Guests can try a variety of fresh cocktails, including the Whaley House Punch with mezcal, lime, pineapple, salted watermelon, Campari and finished with a spritz of absinthe; the Avo Tropical with Paranubes Oaxacan rum, house made triple sec, avocado seed orgeat, lemon juice, orange juice, mint and orange garnish; the Bien Picado with mezcal, lime, roasted watermelon juice, mole grenadine, ginger, serrano bitters; the Campo Santo with tequila, lime, passion fruit, Cointreau, agave syrup, coconut water and the sure-to-be-popular Mezcal Frozen Pina Colada, which is served in a a colorful glass and uses fresh coconut for flavor.",5.0,20,,lqTbsbZTD0HrlMe-PvxdJA,32.75176,-117.19335
Bivouac Ciderworks,3986 30th St,San Diego,CA,92104,(619) 725-0844,http://www.bivouaccider.com/,"Bivouac does more than cider! Their spirits list includes local favorites like You & Yours gin as well as American and imported brandies and eau-de-vies. Bivouac is also doing a Fall/Winter refresh of the menu, including taking off a few of long-running cocktails while keeping the favorites (Bivouac Old Fashioned and the Pike’s Peak ube colada), and adding Jesse Ross’s creative cooler weather comforts like the Sherry Cobbler (made from sherry and berries) and the Hot Cider Toddy (apple brandy, hot cider, and spices).",4.5,133,2,kP-35U6V57A4rLyyKXQdbA,32.75005,-117.13051
Mister A's,2550 Fifth Ave,San Diego,CA,92103,(619) 239-1377,http://www.asrestaurant.com/,"New fall cocktails have arrived to Mister A’s, including Chilis & Chocolate  with Ibarra Mexican cocoa, Dr. Zzyzx chipotle vodka, house whip, marasca; the Aw Shucks with pressed white corn, el tesoro, lime, corn shoots; the Maple Whisky Sour with Grade A Vermont maple syrup, spiced whiskey, egg white, lemon and the Mesquite Manhattan with Warbinger smoked Southwest bourbon, Luxardo, marasca, Yzaguirre, Amaro Montenegro. ",4.0,1939,4,VNZB0P6Zqclc3EvwY2riMA,32.7321321,-117.1604349
Nolita Hall,2305 India St,San Diego,CA,92101,(619) 255-8000,https://www.nolitahall.com/,"Nolita Hall has shaken up its cocktail list with a number of fall additions: The Pie Times mixes Gosling’s black rum, Bounty white rum, Apple Pie Magic, Punt e Mes, ginger, lime and raspberry cinnamon dust; The Blunt Truth has Monkey Shoulder blended Scotch, Chairman’s Reserve rum, Lacuesta vermouth, Apple Pie Magic and a “smoking blunt”; The Fall of Anton combines Mancino bianco vermouth, Amaro Rucolino, Clear Creek apple brandy, cranberry shrub and grapefruit and the beautifully named Purple Rain comes with Spring 44 Gin, Yzaguirre blanco vermouth, Rinomato apertivo and Crème de Violette.",4.5,177,2,TC4WrRzvOpUQG6klahuNBQ,32.72863,-117.17019
Juniper & Ivy,2228 Kettner Blvd,San Diego,CA,92101,(619) 269-9036,http://www.juniperandivy.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"Fresh off of a host of management changes, Juniper & Ivy recently hired its newest bar manager, Corey Tighe. A transplant from the East Coast, Tighe brings an experimental flare to the restaurant’s eclectic bar program. Word on the street is that his latest favorite drink is a yet-to-be-named cocktail that incorporates corn whisky, bourbon, sweet potato cinnamon syrup and black walnut bitters.",4.0,2270,3,WG4QTcnlSh4eKylSM6lICg,32.7275222298723,-117.171003632247
Fernside,1946 Fern St,San Diego,CA,92102,,,"Brand new bar and restaurant Fernside just opened in South Park. The cocktail menu was devised by Christian Siglin, also known for his creations at Cutwater Spirits, Bankers Hill Bar + Restaurant, Craft & Commerce and El Jardin, to name a few. One example is the Thai-flavored Mr. Robinson with peanut butter bourbon, lime, sugar, and cucumber. ",4.5,60,,DMFYWH0FRizH9IYaNKwf-A,32.72635,-117.12943
Rendezvous,326 Broadway,San Diego,CA,92101,(619) 744-2077,http://www.grantgrill.com/,"Rendezvous, a new cocktail bar inside the US GRANT Hotel, opened to the public at the end of October. Marked by a replica of an original 1930s neon sign displayed above the entrance on Broadway, the bar will pay tribute to the hotel’s namesake “Rendezvous, the Wonder Bar” (established by the hotel’s prohibition-era owner, Baron Long, in 1933 just after the Cullen–Harrison Act was signed into law by President Roosevelt). It will feature nods to 1930s Parisian cocktail and salon culture. The menu will include a tightly curated list of French wines priced at $10 per glass; signature cocktails priced at $10 each; punchbowls, priced in “Petite Bourgeoisie and Grand Bourgeoisie” categories, and a dynamic selection of cask ales. Beverage director Jeff Josenhans will also be implementing bespoke ice cutting and shaping and personalized cocktails using the latest in cocktail tech. ",5.0,4,,xQUhLYb17NZcY4RdHcgrNw,32.7158550828369,-117.161822038298
Curadero,5101 1047 Fifth Avenue #100,San Diego,CA,92101,(619) 515-3003,http://www.curadero.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=gbreferral,"The Gaslamp’s Curadero has a new lead bartender, Alex Gregg. His debut menu around a dozen sippers perfect for “cool” weather. Two options are the Verdita Fizz with casa noble blanco tequila, lime, agave, house verdita, aquafaba (chickpea juice) and seltzer, or the La Lechedora with sotol, dry curacao, milk, and orange bitters. A nod to fall is obvious in the Que Pasa Calabaza  with brugal 1888, roasted pumpkin spice orgeat, lime, curacao and bitters. ",4.0,127,2,tbAxlc2q4dB6Sf_7nS8MYg,32.71632,-117.15974
You & Yours Distilling Co.,1495 G St,San Diego,CA,92101,(619) 955-8755,http://youandyours.com/,"You & Yours Distilling Co. launched their ready-to-drink canned cocktails to their already diverse spirit offerings on October 17. The program includes Gin & Tonic, made with You & Yours’ flagship Sunday Gin; Vodka Mule, featuring the Y&Y Vodka; and Cranberry Vodka Soda, which is also made with the flagship Y&Y Vodka. The canned cocktails will initially be released in the You & Yours Distilling Co. tasting room throughout the month of October, followed by distribution in stores throughout California on October 30.",4.5,115,2,pqzhua5VkdvL9O84WGKxUw,32.7125298784492,-117.150480148337
Puesto at the Headquarters,7079,San Diego,CA,92101,(619) 233-8880,http://www.eatpuesto.com/,"Lucien Connor of Puesto has concocted some new cocktails for fall, including the Champorado Tropicale with mezcal, spiced chocolate & maíz, piloncillo, guanabana liqueur, fresh passionfruit, fresh lime and the Rompope Oaxaqueña, which Connor calls “scratch eggnog.” He explained, “ I added a little pinole (a Mexican beverage made from roast corn and cinnamon) that provides just a touch more structure. We are using Yuu Baal Añejo mezcal for its smooth honeyed profile.”",,,,,,
Monkey King,467 Fifth Ave,San Diego,CA,92101,(619) 359-8897,http://www.monkeykingsd.com/,"Monkey King has debuted new shareable punch bowls, featuring the Southeast Asian-inspired restaurant’s signature cocktails available in larger format. 11 refreshing and tropical cocktails are available to order in shareable portions, including a 27-oz. stainless steel pineapple serving four for $48; and an 88-oz. ceramic conch shell serving eight for $80. Among the supersized cocktails available are the Lao-Lao Mule, with Old Forester bourbon, ginger, lime, mint, tamarind and R&D aromatic #7 bitters; Rikky Tikki Tavi with Ketel One, Thai basil, lemongrass and lime; Jungle Bird with hibiscus-infused rum, Campari, pineapple, lime, demerara; and more. The Monkey King Mai Tai, a mix of Bacardi Añejo Cuatro, toasted cashew orgeat, lime, dry curaçao and R&D house bitters, is also available as the King Kong Mai Tai, a 169-oz. bowl serving eight for $150.",4.0,132,2,A-7LvhIWWLfxrtkP-Jhayw,32.7100216,-117.1599751
The Nolen,7007,San Diego,CA,92101,(619) 796-6536,http://thenolenrooftop.com/,"The Nolen has introduced their fresh new menu of autumnal flavors including rosemary, pumpkin and spiced rum. The menu features striking cocktails like the ‘Holy Molé’ with reposado tequila, ginger liqueur, orgeat syrup, unfiltered apple juice, draft stout and fire water or the ‘Pimpkin’ mixed with bourbon, amaro, pumpkin purée, fresh lemon and stout reduction. ",,,,,,
Loews Coronado Bay Resort,4000 Coronado Bay Rd,Coronado,CA,92118,(619) 424-4000,https://www.loewshotels.com/coronado-bay-resort,"From now until January Loews Coronado Bay Resort’s The Bellhop Bar will be featuring a retrofitted steamer trunk bar. Its three-month residency at the resort is a nod to the past, when travelers would pack their belongings in wardrobe trunks for extended journeys. The hand-crafted drinks will be pre-batched daily and served from individual antique apothecary-style bottles.",3.5,693,3,T5o3JzvWC5JLK48G9n5ZVw,32.6315635809151,-117.134826862427
Wrench and Rodent,1815 S Coast Hwy,Oceanside,CA,92054,(760) 271-0531,http://www.seabasstropub.com/,"A standout in Oceanside that showcases chef/owner Davin Waite’s unique skills with foraging and far out flavor innovations. Though his path veers from traditional sushi, Waite is similarly uncompromising in his care for ingredients, especially seafood. ",4.5,731,2,i9ZYCprFuqRnl6EPuU0YcA,33.174645,-117.361908
Campfire,2725 State St,Carlsbad,CA,92008,(760) 637-5121,http://thisiscampfire.com/,"Leading the charge for progressive cuisine in North County is this sincere charmer where wood-fired cookery permeates every aspect of the menu, including the creative cocktails. It’s all showcased in an atmosphere that’s equally suited for date night or family dinners. ",4.5,1184,2,eIUd0dPpd-8oWIQu2ch9gw,33.16199,-117.35105
Market Restaurant & Bar,3702 Via De La Valle,Del Mar,CA,92014,(858) 523-0007,http://www.marketdelmar.com/,Chef/owner Carl Schroeder’s (Michael Mina and Bradley Ogden) North County restaurant has endured and thrived while remaining faithful to a hyper-seasonal cooking style inspired by local farms including the nearby Alice Waters-endorsed Chino Farm.,4.5,854,4,vjGFXOzI1TCLYnnYYjxiXg,32.98317,-117.23017
Addison at The Grand Del Mar,Grand Del Mar,San Diego,CA,92130,(858) 314-1900,http://www.addisondelmar.com/,"The splurge-worthy spot is notable for its executive chef William Bradley, who counts Thomas Keller as a mentor, and its tasting menu format. Executed in tandem with chef de cuisine Stefani De Palma, it brings together French culinary style, innovative plating, and peak seasonal ingredients.",4.0,11,2,2UKP3TkVfuh83sfL0IrBKg,32.938738,-117.197953
Valentien,11480 N Torrey Pines Rd,La Jolla,CA,92037,(858) 777-6635,https://www.lodgetorreypines.com/,"A warm and welcoming temple of impeccably sourced farm-to-table cooking, the signature restaurant of The Lodge at Torrey Pines transcends hotel dining by a mile. Don’t miss the Thursday night artisan table dinners.",4.0,226,4,RDF_NgJ5U-MUhFY1SbhPfg,32.9042922,-117.2434708
